"","account_active_days","koen","permission_given_order","previous_subscriptions","previous_campaigns","previous_trials","newsletters_before_order","newsletters_after_order","age","aktivitet_midt_10","aktivitet_slut_10","aktivitet_start_10","avg_scroll_depth","forskellige_artikler","restricted_share","andet","debat","erhverv","indland","international","kultur","livsstil","politik","sport","udland","churn_binary"
"885",92,"Kvinde","FALSE",0,0,0,0,0,18,0,0,2,0.5,1,0.5,0,2,0,0,0,0,0,0,0,0,"Yes"
"886",411,"Mand","TRUE",3,2,2,0,0,82,44,37,34,0.66304347826087,80,0.521739130434783,49,5,7,22,21,5,1,5,0,0,"No"
"887",152,"Mand","FALSE",1,1,0,0,0,42,0,1,26,0.462962962962963,9,0.37037037037037,13,1,0,11,0,1,0,1,0,0,"No"
"888",580,"Kvinde","FALSE",1,1,0,0,0,64,1,12,6,0.31578947368421,13,0.631578947368421,10,0,2,1,0,4,1,1,0,0,"Yes"
"889",61,"Kvinde","FALSE",0,0,0,0,0,48,13,0,4,0.514705882352941,5,0.588235294117647,5,0,6,6,0,0,0,0,0,0,"No"
"890",456,"Kvinde","FALSE",1,1,0,0,0,68,7,6,6,0.921052631578947,18,0.473684210526316,2,0,7,4,5,0,1,0,0,0,"No"
"891",351,"Mand","FALSE",1,0,1,0,0,47,0,0,5,0.25,4,0.4,1,0,1,0,2,0,0,1,0,0,"Yes"
"892",198,"Mand","TRUE",3,2,2,2,2,72,0,0,2,0.5,1,0,1,0,0,0,1,0,0,0,0,0,"Yes"
"893",160,"Mand","TRUE",1,0,1,0,0,40,187,244,159,0.257799671592775,185,0.303776683087028,343,18,51,23,136,24,4,7,3,0,"Yes"
"894",384,"Kvinde","FALSE",2,2,0,0,0,48,20,22,35,0.37202380952381,34,0.273809523809524,47,2,11,15,6,1,1,1,0,0,"No"
"895",1526,"Kvinde","FALSE",3,1,1,0,0,61,76,120,132,0.345274390243902,159,0.277439024390244,178,6,30,63,23,14,4,6,3,1,"Yes"
"896",371,"Mand","TRUE",0,0,0,0,0,71,1,0,2,0.0833333333333333,1,0,2,0,1,0,0,0,0,0,0,0,"Yes"
"897",1059,"Kvinde","FALSE",6,4,2,0,0,60,41,100,107,0.226470588235294,141,0.329411764705882,138,12,12,35,21,17,8,7,5,0,"No"
"898",186,"Mand","TRUE",0,0,0,0,0,57,1,0,25,0.269230769230769,12,0.192307692307692,15,3,1,1,4,0,2,0,0,0,"Yes"
"899",374,"Mand","FALSE",0,0,0,0,0,64,121,144,157,0.343821510297483,183,0.28604118993135,252,13,16,75,30,31,13,3,4,0,"Yes"
"900",61,"Mand","FALSE",0,0,0,0,0,38,0,1,7,0.5,5,0.125,4,0,0,1,0,0,0,3,0,0,"No"
"901",214,"Mand","FALSE",0,0,0,0,0,64,0,0,11,0.136363636363636,4,0.272727272727273,5,0,2,3,1,0,0,0,0,0,"Yes"
"902",773,"Mand","FALSE",6,5,1,1,2,67,150,189,165,0.22314453125,211,0.255859375,315,5,39,52,70,9,6,13,3,0,"Yes"
"903",965,"Mand","FALSE",9,6,3,0,0,50,0,107,0,0.330152671755725,56,0.32824427480916,86,4,5,16,12,5,1,2,0,0,"Yes"
"904",480,"Mand","FALSE",21,11,13,4,4,72,5,6,23,0.375,23,0.529411764705882,13,0,2,9,1,6,1,1,1,0,"No"
"905",1405,"Mand","FALSE",15,6,6,0,0,48,161,105,64,0.321212121212121,167,0.342424242424242,166,18,39,44,28,19,9,7,0,0,"No"
"906",337,"Mand","FALSE",0,0,0,0,0,59,90,41,79,0.32345971563981,93,0.208530805687204,114,28,8,21,22,5,0,12,1,0,"Yes"
"907",369,"Kvinde","FALSE",0,0,0,0,0,69,29,31,23,0.170588235294118,31,0.223529411764706,66,2,7,4,2,1,2,1,0,0,"Yes"
